ProjectCode,NameProject,SerialNumber,GhabzExit,FactorNumber,FactorType3,KarshenasiAvalie,ReceiverProject,Description,Id,Employer,DateKhoroj,DateVorod,FileDate,DeliveryDate,DateMovaqatExit,SematId,UserId,DateSabtPoroje,DateNiazMoshtari,IsPoshe,FactorType
2604,استاتور آلستوم ,V3   703,,,,,,ارسالی از الوند ژنراتور,13604,58,,2026-05-07 00:00:00.000,,,,106,28,2026-05-11 16:07:48.553,,True,0
2605,روتور آلستوم ,,,,,,,ارسالی از الوند ژنراتور,13605,58,,2026-05-07 00:00:00.000,,,,106,28,2026-05-11 16:08:22.853,,True,0
2606,روتور آلستوم ,509,,,,,,ارسالی از الوند ژنراتور,13606,58,,2026-05-07 00:00:00.000,,,,106,28,2026-05-11 16:08:55.620,,True,0
2607,استاتور آلستوم ,0314,,,,,,,13607,58,,2026-05-09 00:00:00.000,,,,69,29,2026-05-11 16:09:33.290,,True,0
2608,استاتور آلستوم ,0508,,,,,,,13608,58,,2026-05-09 00:00:00.000,,,,69,29,2026-05-11 16:10:12.483,,True,0
2609,آرمیچر 4.5 تن ,,,,,سیم پیچی,,تهاتر با استاتور به شماره 2612,13609,55,2026-06-03 00:00:00.000,2026-05-17 00:00:00.000,,,,106,28,2026-05-19 17:11:26.350,,True,1
2610,استاتور اکسیژن 200KW-500RPM-365A-380V,,,3179,,رفع اتصال موضعی,,,13610,19,2026-06-28 00:00:00.000,2026-05-17 00:00:00.000,,,,106,28,2026-05-19 17:13:11.016,,True,8
2558,استاتور الستوم ,0485,,766,,سیم پیچی,,,9577,58,2026-03-13 00:00:00.000,2026-02-12 00:00:00.000,,,,106,28,2026-02-14 10:54:54.280,,True,5
2559,ارمیچر 5.5 تن ,,,,,سیم پیچی,,,9578,3207,2026-03-12 00:00:00.000,2026-02-12 00:00:00.000,,,,106,28,2026-02-14 10:56:24.420,,True,1
2560,ارمیچر 5.5 تن ,,,,,سیم پیچی,,,9579,3207,2026-03-12 00:00:00.000,2026-02-12 00:00:00.000,,,,106,28,2026-02-14 10:56:47.610,,True,1
2561,الکتروموتور 250kw-1485rpm-6300V,,,817,,سیم پیچی استاتور,,,9580,140,2026-05-23 00:00:00.000,2026-02-12 00:00:00.000,,,,106,28,2026-02-15 08:52:24.950,,True,5
2562,استاتور (160KW-75 ) (750-375RPM)(308-240A),,,,,اورهال,,,9581,3208,,2026-02-19 00:00:00.000,,,,106,28,2026-02-21 11:25:23.973,,True,0
2563,موتور لیفتراک ,,,782,,اصلاح جاذغالی,,,10581,113,2026-05-10 00:00:00.000,2026-02-25 00:00:00.000,,,,106,28,2026-02-28 15:28:03.243,,True,5
2564,موتور لیفتراک ,,,782,,اصلاح جاذغالی,,,10582,113,2026-05-10 00:00:00.000,2026-02-25 00:00:00.000,,,,106,28,2026-02-28 15:29:14.436,,True,5
2565,روتور قفسی,,,793,,ساخت شفت,,فاکتور 778 باطل گردید,10583,4208,2026-04-06 00:00:00.000,2026-02-26 00:00:00.000,,,,106,28,2026-02-28 15:30:16.816,,True,5
2566,روتور قفسی,,,793,,ساخت شفت,,فاکتور 778 باطل گردید,10584,4208,2026-04-06 00:00:00.000,2026-02-26 00:00:00.000,,,,106,28,2026-02-28 15:30:47.273,,True,5
2567,روتور قفسی,,,793,,ساخت شفت,,فاکتور 778 باطل گردید,10585,4208,2026-04-06 00:00:00.000,2026-02-26 00:00:00.000,,,,106,28,2026-02-28 15:31:15.030,,True,5
2568,روتور قفسی ,,,793,,ساخت شفت,,فاکتور 778 باطل گردید,10586,4208,2026-04-06 00:00:00.000,2026-02-26 00:00:00.000,,,,106,28,2026-03-06 12:42:40.476,,True,5
2569,آرمیچر 5.5تن,,,,,ساخت,,,10587,54,,2026-02-28 00:00:00.000,,,,106,28,2026-03-06 12:43:56.203,,True,0
2570,آرمیچر 4.5 تن,,,,,ساخت,,,10588,54,,2026-02-28 00:00:00.000,,,,106,28,2026-03-06 12:44:30.930,,True,0
2571,قطب کمکی و قطب اصلی,,,,,بازسازی قطب,,4 عدد قطب کمکی به همراه هسته و 4 عدد قطب اصلی به همراه هسته,10589,142,2026-07-12 00:00:00.000,2026-02-28 00:00:00.000,,,,106,28,2026-03-06 12:48:59.016,,True,0
2572,ساخت قطب کمکی 6 عدد 5.5 تن ,,,760-761,,ساخت,,,10590,54,2026-03-07 00:00:00.000,2026-02-28 00:00:00.000,,,,106,28,2026-03-08 09:57:31.963,,True,5
2573,استاتور آلستوم ,0369,,787,,سیم پیچی,,,10591,58,2026-04-07 00:00:00.000,2026-03-06 00:00:00.000,,,,106,28,2026-03-08 09:58:24.930,,True,5
2574,استاتور الستوم ,0287,,787,,سیم پیچی,,,10592,58,2026-04-23 00:00:00.000,2026-03-06 00:00:00.000,,,,106,28,2026-03-08 09:59:24.163,,True,5
2575,استاتور آلستوم,0585,,787,,سیم پیچی,,,10593,58,2026-04-23 00:00:00.000,2026-03-16 00:00:00.000,,,,106,28,2026-03-18 14:31:56.823,,True,5
2576,استاتور آلستوم,0533,,792,,سیم پیچی,,,10594,58,2026-05-09 00:00:00.000,2026-03-16 00:00:00.000,,,,106,28,2026-03-18 14:32:29.300,,True,5
2577,الکتروموتور  ( استاتور  ) 400KW-47.5A-6KV-750RPM,,,788,,اصلاح شفت و بالانس,,,10595,68,2026-05-06 00:00:00.000,2026-03-14 00:00:00.000,,,,106,28,2026-03-18 14:33:32.760,,True,5
